id,end,start,state,listing
aa01fc63-fbd2-4f28-a6d7-f725b3e6512d,2021-07-25 12:00:00+00:00,2021-07-23 12:00:00+00:00,cancelled,Capeline paille et oiseaux bleus | f7ee5531-c061-4f89-9d07-57f9435f4f6a
a967e290-149e-4b54-a7e3-9cc11a4600dd,2022-05-23 12:00:00+00:00,2022-05-19 12:00:00+00:00,accepted,Veste dream dorée Maison Guillemette T.36 | 3f30efad-68d7-481b-8a1c-f08c058a97df
a94c90e2-2af6-417f-9462-a14d4c5fcd6c,2022-01-22 12:00:00+00:00,2022-01-07 12:00:00+00:00,accepted,"Robe Ba&sh Vadéa, T.34 | 5cbf811b-4209-46aa-ad2e-e452d6c9c0c9"
a900ca27-5c84-44f8-b78a-7d95b4b04cf0,2021-10-12 12:00:00+00:00,2021-10-06 12:00:00+00:00,accepted,Chaussure High Palermo Sézane 37 | 1d397f35-740a-4831-b498-81fa0afe0732
a8d41560-c8bb-408c-b76a-f5c12d6efbe5,2022-05-23 12:00:00+00:00,2022-05-19 12:00:00+00:00,accepted,Combinaison verte Coosy T.34 | 24934dbc-d8af-4b1b-a3ba-f33f397d85a3
a8aeaab6-219f-478a-8c53-97cbae80ac27,2021-10-20 12:00:00+00:00,2021-10-14 12:00:00+00:00,accepted,"Robe Bash Vadea, T.1 | b6476b17-28e5-4894-80c3-b3cad0d4dc1e"
a842338d-7339-4550-a7a2-60eeabbd56e8,2022-06-20 12:00:00+00:00,2022-06-16 12:00:00+00:00,accepted,Robe violetta vergara T.36 | 2aac0bc8-7374-4657-9191-63534f801d8d
a7f4a6c1-6e90-4ddd-92b4-8783db78f889,2021-10-17 12:00:00+00:00,2021-10-09 12:00:00+00:00,accepted,Chemise Ann en soie bleue XS/S | 5f6db5b6-945d-4871-ab85-242ee358a5ca
a7ba165c-3288-431c-aa35-0ac64b042f8e,2022-04-03 12:00:00+00:00,2022-03-31 12:00:00+00:00,accepted,"Veste Maison Guillemette sequins, T.S | fd19a3fb-0818-4989-8c38-4827228df4ae"
a78829e8-01df-40b3-942e-41dc182bce6b,2021-12-13 12:00:00+00:00,2021-12-10 12:00:00+00:00,cancelled,"Robe Apoluze ""Anielo"" vert sapin t.38 | 5f69e901-1c01-4b75-bd10-56975440bae0"
a7556ed2-c414-49c8-a4aa-ea11c1d79c8b,2021-08-29 12:00:00+00:00,2021-08-28 12:00:00+00:00,cancelled,Chapeau en paille | 5f4e7da8-9695-4117-a324-b3c36ec7171e
a7284228-e993-41c3-8ff5-454c0e27fe35,2021-08-05 12:00:00+00:00,2021-07-30 12:00:00+00:00,accepted,Capeline Diane Les Petites Mésanges | 63aa0087-babe-4244-a19c-654bc2f4fdcf
a6e73b67-5798-4814-8fc0-06656084ab73,2021-07-12 12:00:00+00:00,2021-07-05 12:00:00+00:00,pending,"Robe Ba&sh Vadea, T.2 | 5fd266d8-5ce8-4809-9c97-5aa14cc5cdd9"
a69208dd-0e6b-4d74-b608-793881c5ff25,2022-01-12 12:00:00+00:00,2022-01-05 12:00:00+00:00,accepted,"Robe Sézane Olivia tomette, T.38 | a936f9b5-b981-47cd-9a19-94bf33b69f73"
a594df59-fed6-4bb6-b7b3-4e804681adab,2022-05-29 12:00:00+00:00,2022-05-24 12:00:00+00:00,accepted,Chapeau beige et rouge | 5d00de08-0e7f-4979-ae59-84593eed1112
a590245a-3fdc-40c1-bd20-6aa19e6cadfa,2022-06-26 12:00:00+00:00,2022-06-24 12:00:00+00:00,accepted,Boucles d'oreilles blanche Maison Massillon | 8c673027-2a40-4ac7-b212-f9af5c422454
a58593ea-1fab-4358-a8ed-c89ef3473bbd,2022-05-16 12:00:00+00:00,2022-05-12 12:00:00+00:00,accepted,"Veste dream dorée Maison Guillemette, T.S | 3987517a-01d3-4397-9ad1-8b275567c189"
a55d1926-dc55-4ed0-a835-59378af4bbe7,2022-02-14 12:00:00+00:00,2022-02-10 12:00:00+00:00,accepted,Serre tête Kim - L'Otarie Club | 2668dc54-f28c-4214-b6b2-a88a5b4b7043
